Question,Sub Question,Compliance Item
,Did the identified individual assume the mortgage obligation in the same capacity?,"In the event of a death or separation leaving no owner-mortgagor, the mortgagee may begin billing for assistance immediately as though there had been an assumption at the time of the death or separation, provided the mortgagee can identify an individual who meets all of the following conditions:
c. will assume the mortgage obligation in the same capacity;"
,Did the identified individual occupy the mortgaged property with the survivors?,"In the event of a death or separation leaving no owner-mortgagor, the mortgagee may begin billing for assistance immediately as though there had been an assumption at the time of the death or separation, provided the mortgagee can identify an individual who meets all of the following conditions:
d. will occupy the mortgaged property with the survivors;"
,Did the identified individual qualify for assistance within the limits prescribed for initial eligibility?,"In the event of a death or separation leaving no owner-mortgagor, the mortgagee may begin billing for assistance immediately as though there had been an assumption at the time of the death or separation, provided the mortgagee can identify an individual who meets all of the following conditions:
e. will qualify for assistance within the limits prescribed for initial eligibility (see Paragraph 10-22)."
Was a guardian or trustee appointed on behalf of the survivors before the estate was settled?,,3. Establishing Eligibility. It must be recognized that to determine who will most likely inherit or be appointed as a guardian or trustee on behalf of the survivors before the estate is settled can only be based on assumptions.
"Were Interim changes in assistance payments based on the highest family income figure, which could be developed from any sources, until the mortgagor’s family income was verified or a decision was made by the local HUD Field Office?",,A. Basis For Computing Interim Assistance Payments. Interim changes in assistance payments should be based on the highest family income figure which can be developed from any source (or sources) until the mortgagor’s family income can be verified or a decision is made by the local HUD Field Office.
"Unless the mortgagor understated income, did the interim change in assistance payments result in overpayment of subsidy?",,"B. Affect On Payments. Interim changes in assistance payments should:
1. not result in overpayment of subsidy unless the mortgagor understates income;"
Did the Interim change in assistance payments result in the Formula One assistance (after verification) being equal to or greater than the interim adjustment?,,"B. Affect On Payments. Interim changes in assistance payments should:
2. result in the Formula One assistance (after verification) being equal to or greater than the interim adjustment;"
Did the Interim change in assistance payments remain the same due to Formula Two calculations not being income related?,,"B. Affect On Payments. Interim changes in assistance payments should:
3. not affect Formula Two calculations as the Formula Two are not income related."
Was HUD Field Office asked to make a decision as to the total family income to be used to determine the amount of assistance to be paid on behalf of the mortgagor whenever acceptable verification could not be verified? ,,"C. HUD Assistance Requested. Whenever acceptable verifications cannot be obtained, the local HUD Field Office should be asked to make a decision as to the total family income to be used to determine the amount of assistance to be paid on behalf of the mortgagor."
Were all the documents included when requesting local HUD Field Office for assistance in determining correct assistance?,,"D. Documentation Needed. Requests to local HUD Field Offices for assistance in determining correct assistance should include:
1. Form HUD-93101, Recertification of Family Income and Composition, Section 235(b);
2. all income verifications received to date that pertain to this recertification, including summaries of any received verbally;
3. copies of any correspondence related to the recertification or verification of income.
4. a summary of any attempted verifications or reconciliation of differences may not have been made clear by the basic  documentation; explain the problem encountered; and
5. the names, addresses and telephone numbers of any income source identified by or for any family member."
,"Was the Form HUD-93101, Recertification of Family Income and Composition section 235(b), included in the request?","D. Documentation Needed. Requests to local HUD Field Offices for assistance in determining correct assistance should include:
1. Form HUD-93101, Recertification of Family Income and Composition, Section 235(b);"
,"Was all income verification received to date, that pertains to this re-certification, including summaries of any received verbally,  included in the requests?","D. Documentation Needed. Requests to local HUD Field Offices for assistance in determining correct assistance should include:
2. all income verifications received to date that pertain to this recertification, including summaries of any received verbally;"
,Were the copies of any correspondence related to the recertification or verification of income included in the requests?,"D. Documentation Needed. Requests to local HUD Field Offices for assistance in determining correct assistance should include:
3. copies of any correspondence related to the recertification or verification of income."
,"Did the summary of any attempted verifications or reconciliation of differences that may not have been made clear by the basic documentation, explain the problem encountered and include it in the request?","D. Documentation Needed. Requests to local HUD Field Offices for assistance in determining correct assistance should include:
4. a summary of any attempted verifications or reconciliation of differences may not have been made clear by the basic documentation; explain the problem encountered;"
,"Were the names, addresses and telephone numbers of any income source, identified by or for any family members, included in the requests?","D. Documentation Needed. Requests to local HUD Field Offices for assistance in determining correct assistance should include:
5. the names, addresses and telephone numbers of any income source identified by or for any family member."
"When mortgage closing did not take place on the first day of the month, was the first assistance payment on a new mortgage smaller or larger than subsequent assistance payments (depending on how interest for the first partial month was collected from the mortgagor)?",,"Where mortgage closings do not take place on the first day of a month, the first assistance payment on a new mortgage will normally
be smaller or larger than subsequent assistance payments (depending on how interest for the first partial month is collected from the mortgagor)."
"If the interest collected was at closing or as a separate payment of interest only on the first of the month following closing, was the initial assistance payment smaller? ",,"If the interest is collected at closing or as a separate payment of interest only on the first of the month following closing, the initial assistance payment will be smaller."
"if the interest was collected as a part of the first full monthly installment, was the payment and assistance payment larger?  ",,"If the interest is collected as a part of the first full monthly installment, both that payment and the assistance payment will be larger."
"If the  mortgagor’s income and the full monthly payment used in “Formula One” and the monthly payments to principal, interest and MIP on the actual mortgage and to principal and interest on a mortgage at the appropriate interest rate used in “Formula Two,” was the Formula Two income  adjusted to reflect the number of days for which interest was actually collected?",,"In calculating this first assistance payment, the mortgagee’s basic calculations are the same. Both “Formula One” and “Formula Two” assistance payments are to be calculated, but the mortgagor’s income and the full monthly payment used in “Formula One” and the monthly
payments to principal, interest and MIP on the actual mortgage and to principal and interest on a mortgage at the appropriate interest rate used in “Formula Two” must be adjusted to reflect the number of days for which interest was actually collected."
Was the assistance payment adjustment made either retroactively of prospectively?,,A. Adjustments. Assistance payment adjustments will be made either retroactively or prospectively.
,Was the Assistance payment adjusted retroactively to correct errors or to include previously unreported income?,"1. Retroactively. Assistance payments may be adjusted retroactively (i.e., adjusted back to the date the change should have taken effect). Payments may be adjusted retroactively under the following circumstances:
a. to correct errors or to include previously unreported income (i.e., $50. 00 increases);"
,Was the Assistance payment adjusted retroactively to reinstate a suspended assistance payments contract when there was an assumption and the assumptor was found eligible for assistance?,"1. Retroactively. Assistance payments may be adjusted retroactively (i.e., adjusted back to the date the change should have taken effect). Payments may be adjusted retroactively under the following circumstances:
b. to reinstate a suspended assistance payments contract when:

(1) there is an assumption and the assumptor is found eligible for assistance;"
,"When a foreclosure action was withdrawn, were the Assistance payments adjusted retroactively to reinstate a suspended assistance payments contract?","1. Retroactively. Assistance payments may be adjusted retroactively (i.e., adjusted back to the date the change should have taken effect). Payments may be adjusted retroactively under the following circumstances:
b. to reinstate a suspended assistance payments contract when:
(2) a foreclosure action is withdrawn;"
,"When an interim assistance payment was put into effect in accordance with 10-13 INTERIM ASSISTANCE PAYMENTS, was the Assistance payment adjusted retroactively? ","1. Retroactively. Assistance payments may be adjusted retroactively (i.e., adjusted back to the date the change should have taken effect). Payments may be adjusted retroactively under the following circumstances:
c. when an “interim” assistance payment was put into effect in accordance with Paragraph 10-13;"
,Was HUD directed to adjust the Assistance payments retroactively?,"1. Retroactively. Assistance payments may be adjusted retroactively (i.e., adjusted back to the date the change should have taken effect). Payments may be adjusted retroactively under the following circumstances:
d. when directed to do so by HUD."
"When reported by the mortgagor as required, were the prospective assistance payment adjustments made effective within 30 days after the processing of recent or anticipated changes? ",,"2. Prospectively. Most assistance payments will be adjusted prospectively (i.e., adjustments made effective within 30 days after the processing of recent or anticipated changes when reported by the mortgagor as required)."
,Were the prospective assistance payment adjustments made due to change in income or family composition reflected in a recertification?,"These changes may be due to, but not necessarily limited to, the following:
a. changes in income or family composition reflected in a recertification;"
,Were the prospective assistance payment adjustments made due to an increase in the full monthly payment required under the mortgage?,"These changes may be due to, but not necessarily limited to, the following:
b. an increase in the full monthly payment required under the mortgagee;"
"At the time MIP changes for the coming year, did the Formula Two assistance payment also change for the twelve months (on the anniversary of the beginning of amortization)?",,B. Computation Changes. “Formula Two” assistance payments change every twelve months (on the anniversary of the beginning of amortization) at the time MIP changes for the coming year.
Was the effective date of payment change recorded in Block 19 on Form HUD-93101-A in accordance with the schedule as per the HUD Handbook?,,C. Effective Dates Of Changes (24 CFR 235. 360). The effective date of payment change recorded in Block 19 on Form HUD-93101-A must be in accordance with the following schedule:
,"If the borrower's share of payment increased in the annual recertification, did the effective date of the payment change to the first day, of the first or second month, after receipt of Form HUD 93101?","Action Requiring Change :  Annual recertification if mortgagor’s share of payment increases, Effective Date: First day of first or second month after receipt of Form HUD 93101 at the mortgagee’s discretion"
,"If the borrower's share of the payment increased in annual recertification, was the effective date of the payment changed to the first day of the first month after receipt of Form HUD-93101?","Action Requiring Change :  Annual recertification if mortgagor’s share of payment decreases, Effective Date : THE first day of the first month after receipt of Form HUD-93101"
,"If there is a payment change due to reported increase in income, was the effective date of the payment change on the first day of the first month after the effective date of income increase?","Action Requiring Change :  Reported increase in income
Effective Date : THE first day of the first month after the effective date of income increase"
,"If there is a payment change due to decrease in income, was the effective date of the payment changed to the first day of the first month after receipt of Form HUD-93101?","Action Requiring Change :  Reported decrease in income
Effective Date : The first day of the first month after receipt of

Form HUD-93101"
,"If there was a change in total monthly payment required under the mortgage, was the date of the monthly payment amount changed?","Action Requiring Change :  Change in total monthly payment required
under the mortgage Effective Date : The date of the monthly payment amount change"
,"If there was a change in Formula Two assistance due to an MIP change, was the effective date of the change the anniversary date of the beginning of amortization?",Action Requiring Change :  Change in “Formula Two” assistance due to an MIP change Effective Date : The anniversary date of the beginning of amortization
Was the mortgagor notified of changes in assistance payments no less than 10 days before the due date of the first payment affected by the change?,,The mortgagee must notify the mortgagor of changes in assistance payments no less than 10 days before the due date of the first payment affected by the change.
"Was a schedule, that was realistic and did not put undue hardship on the mortgager,  arranged for collecting any additional amounts that may become due before the 10-day advance notice period was given?",,"A. Required Advance Notice Not Given. Any time there is an increase in the mortgagor’s share of the payment and the required 10-day advance notice cannot be given to the mortgagor, the mortgagee must arrange a schedule that is acceptable to both parties (must be one that is realistic and does not put an undue hardship on the mortgagor) for collecting any additional amounts that may become due before the 10-day advance notice period can be given."
Did the payment schedule arrangements made between the mortgagor and the mortgagee result in overpaid assistance?,,Payment schedule arrangements made between the mortgagor and the mortgagee should not result in overpaid assistance.
Did the Written Notice sent to the Mortgagor include all the required information?,,"B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
1. the total monthly mortgage payment, excluding items not required by the mortgage (such as premiums for life and/or disability insurance);
2. HUD’s share of the mortgage payment and whether it was computed under “Formula One” or “Formula Two”;
3. the mortgagor’s share of that payment;
4. any additional amounts that must be paid by the mortgagor in connection with the mortgage payment which was excluded in Item 1 above (such as premiums for life and/or disability insurance);
5. the monthly gross income used to calculate the assistance payment for the purpose of providing a bench mark to help the mortgagor know when to report increases of $50 or more per month;
6. the due date of the first payment due from the mortgagor which reflects the increase."
,"Did the Written Notice include the total monthly mortgage payment, excluding items not required by the mortgage?","B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
1. the total monthly mortgage payment, excluding items not required by the mortgage (such as premiums for life and/or disability insurance);"
,"Was HUD’s Share of the mortgage payment, whether it was computed under Formula one or Formula Two, included in the Written Notice?","B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
2. HUD’s share of the mortgage payment and whether it was computed under “Formula One” or “Formula Two”;"
,Did the Written Notice include the mortgagor’s share payment?,"B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
3. the mortgagor’s share of that payment;"
,Did the Written Notice include any additional amounts that must be paid by the mortgagor in connection with the mortgage payment which were excluded in Item 1 above (such as premiums for life and/or disability insurance)?,"B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
4. any additional amounts that must be paid by the mortgagor in connection with the mortgage payment which was excluded in Item 1 above (such as premiums for life and/or disability insurance);"
,"Was the monthly gross income used to calculate the assistance payment, for the purpose of providing a benchmark to help the mortgagor know when to report increases of $50 or more per month,  included in the written Notice?","B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
5. the monthly gross income used to calculate the assistance payment for the purpose of providing a bench mark to help the mortgagor know when to report increases of $50 or more per month;"
,Did the due date of the first payment due from the mortgagor reflect the increase included in the written Notice?,"B. Written Notice To Mortgagor. The notice to the mortgagor should include, but not necessarily be limited to, the following information:
6. the due date of the first payment due from the mortgagor which reflects the increase."
Was the Form HUD-93114 and all other pertinent records documented  in the mortgagor’s case file for the life of the insured mortgage plus three years?,,Form HUD-93114 and all other pertinent records must be in the mortgagor’s case file for the life of the insured mortgage plus three years.
Were the assistance payments suspended when the mortgagor or cooperative member ceased to meet the occupancy criteria?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
1. When the mortgagor or cooperative member ceases to meet the occupancy criteria for continued assistance;"
Were the assistance payments suspended on the first day of the month following the date the mortgagor or cooperative member ceased to meet the occupancy criteria?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
1. When the mortgagor or cooperative member ceases to meet the occupancy criteria for continued assistance;
Effective Date: the first day of the month following the date the mortgagor or cooperative member ceased to meet the criteria;"
Were Assistance payments suspended because the income increased which enabled the mortgagor or cooperative member to pay the full monthly payment based on 20 or 28 percent of the family income?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
2. The mortgagee determines that the mortgagor or cooperative member ceases to qualify for assistance payments because of income increases enabling the mortgagor or cooperative member to pay the full monthly payments using 20 or 28 percent (whichever applies) of the family income."
"Were Assistance payments suspended on the date the mortgagor received the increase in family income, which enabled payment of the full monthly mortgage payment with 20 or 28 percent of the adjusted gross family income?",,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
2. The mortgagee determines that the mortgagor or cooperative member ceases to qualify for assistance payments because of income increases enabling the mortgagor or cooperative member to pay the full monthly payments using 20 or28 percent (whichever applies) of the family income.
Effective Date: the date that the mortgagor received the increase in family income which enabled payment of the full monthly mortgage payment with 20 or 28 percent of the adjusted gross family income;"
"Were Assistance payments suspended when the required recertification of occupancy, employment, income and family composition could not be obtained from the mortgagor?",,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
3. The required recertification of occupancy, employment, income and family composition cannot be obtained from the mortgagor."
"Was the assistance payment contract suspended if the recertification Form HUD-93101 was not received 30 days after the anniversary date or the disclosure and verification of the SSN were not provided?
",,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
3. The required recertification of occupancy, employment, income and family composition cannot be obtained from the mortgagor.

Effective Date: For annual recertifications, the assistance payment contract must be suspended if the recertification Form HUD-93101 has not been received 30 days after the anniversary date, or the disclosure and verification of the Social Security numbers are not provided. For other required recertifications, the contract is  suspended as of the first day of the month following expiration of the 30-day period given the mortgagor for recertification."
Was the contract suspended as of the first day of the month following expiration of the 30-day period that was given to the mortgagor for recertification for other required recertifications?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
3. The required recertification of occupancy, employment, income and family composition cannot be obtained from the mortgagor.

Effective Date: For annual recertifications, the assistance payment contract must be suspended if the recertification Form HUD-93101 has not been received 30 days after the anniversary date, or the disclosure and verification of the Social Security numbers are not provided. For other required recertifications, the contract is  suspended as of the first day of the month following expiration of the 30-day period given the mortgagor for recertification."
Were the assistance payments suspended when a mortgagor requested recertification due to a reduction in income?,,"Assistance payments are not to be suspended when a mortgagor requests recertification due to a reduction in income (i.e., optional recertification), and then fails to recertify."
Were the assistance payments suspended when a Mortgage's obligation or cooperative membership was assumed by a party before eligibility had been established?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
4. Mortgage obligation or cooperative membership is assumed by a party before eligibility has been established."
"Were the assistance payments suspended on the first day of the month following the date on which the seller failed to meet the occupancy criteria or the assumptor assumed the mortgage or cooperative membership, whichever is earlier?",,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
4. Mortgage obligation or cooperative membership is assumed by a party before eligibility has been established.
Effective Date: The first day of the month following the date on which the seller fails to meet the occupancy criteria as set out in paragraph, or the assumptor assumes the mortgage or cooperative membership, whichever is earlier."
Were the assistance payments suspended when Foreclosure was initiated?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
5. Foreclosure is initiated."
Were the assistance payments suspended on the first day of the month following the date the first legal action required by state law was taken by the attorney to foreclose on the mortgage?,,"Events Which Require Suspension. Events listed below (and are also given under Item 15 of Form HUD-93114 require the suspension of assistance payments. Effective dates are also given as to when each is to be suspended.
5. Foreclosure is initiated.
Effective date: The first day of the month following the date the first legal action required by state law is taken by the mortgagee’s attorney to foreclose on the mortgage."
Was a notice sent to the mortgagor advising of the suspension?,,Suspension Notification Required. A notice shall be sent to the mortgagor advising of the suspension
Was a suspension notification sent to mortgagor when the suspension of assistance payments was the result of a mortgagor being able to make the full monthly payment using the appropriate 20 or 28 percent of family income?,,"B. Suspension Notification Required. A notice shall be sent to the mortgagor advising of the suspension when:
1. the suspension of assistance payments is the result of a mortgagor being able to make the full monthly payment using the appropriate 20 or 28 percent of family income;"
Was a suspension notification sent to mortgagor when the mortgagor failed to submit a required recertification?,,"B. Suspension Notification Required. A notice shall be sent to the mortgagor advising of the suspension when:
2. the mortgagor fails to submit a required recertification;"
Was a suspension notification sent to mortgagor when the mortgagor failed to meet the disclosure and verification requirements for Social Security numbers in connection with a recertification?,,"B. Suspension Notification Required. A notice shall be sent to the mortgagor advising of the suspension when:
3. the mortgagor fails to meet the disclosure and verification requirements for Social Security numbers in connection with a recertification."
Did the Suspension notice contain all the required information?,,"C. Content Of Suspension Notice. The notice to the mortgagor must include the following:
1. the date of the suspension;
2. the reason for suspension (as stated in Paragraph 10-18A);
3. the mortgagor’s total required monthly mortgage payment;
4. a statement advising that for a period of 3 years immediately following the suspension, assistance payments may be reinstated at any time within that 3-year period if:
a. circumstances occur which would eliminate the reason for the suspension; and
b. provided that another event (listed in Paragraph 10-18A) has not taken place which would in itself require that the assistance payment contract continue to be suspended."
,Did the Suspension Notice contain the date of the suspension?,"C. Content Of Suspension Notice. The notice to the mortgagor must include the following:

1. the date of the suspension;"
,Did the Suspension notice contain the reason for suspension (as stated in Paragraph 10-18A)?,"C. Content Of Suspension Notice. The notice to the mortgagor must include the following:
2. the reason for suspension (as stated in Paragraph 10-18A);"
,Did the Suspension notice contain the mortgagor’s total required monthly mortgage payment?,"C. Content Of Suspension Notice. The notice to the mortgagor must include the following:
3. the mortgagor’s total required monthly mortgage payment;"
,"Did the Suspension notice contain a statement advising that for a period of 3 years, immediately following the suspension, assistance payments may be reinstated at any time within that 3-year period?","C. Content Of Suspension Notice. The notice to the mortgagor must include the following:
4. a statement advising that for a period of 3 years immediately following the suspension, assistance payments may be reinstated at any time within that 3-year period if:
a. circumstances occur which would eliminate the reason for the suspension; and
b. provided that another event (listed in Paragraph 10-18A) has not taken place which would in itself require that the assistance payment contract continue to be suspended."
Were the Assistance payments reinstated after receiving the Form HUD-93101 notification that the mortgagor meets the occupancy requirement?,,"D. Reinstatement Effective Dates. A suspended assistance payment contract shall be reinstatement as follows:
1. Suspension Due To Mortgagor’s Non-occupancy Status. Assistance payments may be reinstated effective with the first monthly billing after the mortgagee receives Form HUD-93101 notification that the mortgagor meets the occupancy requirement."
Were the Suspended Assistance payments reinstated effective the first day of the month after the mortgagee received Form HUD-93101 notification that the mortgagor is no longer over income and meets all other continued eligibility criteria?,,"D. Reinstatement Effective Dates. A suspended assistance payment contract shall be reinstatement as follows:
2. Suspension Due to Over-Income Mortgagor. Assistance payments may be reinstated effective the first day of the month after the mortgagee receives Form HUD-93101 notification that the mortgagor is no longer “over income” and meets all other continued eligibility criteria.."
Were the Suspended Assistance payments  reinstated effective the first day of the month after the mortgagee received the required Form HUD-93101?,,"D. Reinstatement Effective Dates. A suspended assistance payment contract shall be reinstatement as follows:
3. Suspension Due To Mortgagor’s Failure to Recertify. Assistance payments may be reinstated effective the first day of the month after the mortgagee receives the required Form HUD-93101."
Were the Suspended Assistance payments  reinstated effective the first day of the month after the mortgagee received the social security number information?,,"D. Reinstatement Effective Dates. A suspended assistance payment contract shall be reinstatement as follows:
4. Suspension Due To Mortgagor’s Failure to Disclose and Verify Social Security Numbers (24 CFR 235.375(b)(4)). Assistance payments may be reinstated effective the first day of  the month after the mortgagee received the social security number information."
Were the Suspended Assistance payments reinstated upon the withdrawal of foreclosure actions?,,"5. Suspension Due To Initiation of Foreclosure. Upon the withdrawal of foreclosure action, assistance payments may be reinstated retroactively to the date of suspension provided that, during the period the assistance payments were suspended, the
mortgagor continued to meet all other criteria for receiving assistance payments."
,Were the terms of the reinstatement of the mortgage negotiated between mortgagee and the mortgagor?,"a. Negotiation of Reinstatement Terms. The terms of reinstatement of the mortgage (i.e., whether the delinquency is to be paid in a lump sum, or additional sums are to be paid each month until the mortgage is current etc. ,) may be negotiated
between the mortgagee and the mortgagor. However, the terms agreed upon must be realistic and may not affect the monthly mortgage payment on which the Formula One assistance payment is based."
,Did the terms agreed upon affect the mortgage payment on which the Formula One assistance payment was based?,"a. Negotiation of Reinstatement Terms. The terms of reinstatement of the mortgage (i.e., whether the delinquency is to be paid in a lump sum, or additional sums are to be paid each month until the mortgage is current etc. ,) may be negotiated
between the mortgagee and the mortgagor. However, the terms agreed upon must be realistic and may not affect the monthly mortgage payment on which the Formula One assistance payment is based."
,Were any costs incurred with respect to the withdrawn foreclosure action reimbursed?,"b. Reimbursement of Foreclosure Costs. Mortgagee retains the right to be reimbursed by the mortgagor for any costs incurred with respect to the withdrawn foreclosure action. However, these costs must be kept separate and apart from any Section 235 assistance."
,"Were any reimbursed costs incurred with respect to withdrawn foreclosure action, not added to the monthly mortgage payment used to calculate the assistance payments and also not billed to HUD as a separate item?","b. Reimbursement of Foreclosure Costs. Mortgagee retains the right to be reimbursed by the mortgagor for any costs incurred with respect to the withdrawn foreclosure action. However, these costs must be kept separate and apart from any Section 235 assistance. These costs may not be added to the monthly mortgage payment used to calculate the assistance payments and may not be billed to HUD as a separate item."
Was the Assistance Payment Contract terminated when the contract of mortgage insurance was terminated?,,"A. Events Which Require Termination. Events are listed below (and also given under Item 16 of HUD-93114) which require the termination of the assistance payment contract:
1. when the contract of mortgage insurance is terminated;"
"In the case where HUD accepted an assignment of the mortgage, was the Assistance Payment Contract kept in place?  ",,"A. Events Which Require Termination. Events are listed below (and also given under Item 16 of HUD-93114) which require the termination of the assistance payment contract:
1. when the contract of mortgage insurance is terminated;
EXCEPTION: The assistance payment contract is not terminated because HUD accepts an assignment of the mortgage."
"In the case where the mortgage is assumed by a mortgagor or cooperative member who is not eligible for assistance, was the Assistance payment Contract terminated?",,"A. Events Which Require Termination. Events are listed below (and also given under Item 16 of HUD-93114) which require the termination of the assistance payment contract:
2. the mortgage is assumed by a mortgagor or cooperative member who is not eligible for assistance;"
"Was the Assistance Payment Contract kept active, when the Assistance Payment Contract had been properly suspended for three consecutive years without the subsidy being reinstated within that three-year period of suspension?",,"A. Events Which Require Termination. Events are listed below (and also given under Item 16 of HUD-93114) which require the termination of the assistance payment contract:
3. the assistance payment contract has been properly suspended for three consecutive years without the subsidy being reinstated within that three-year period of suspension;"
Was the Assistance Payment Contract kept active when the contract for Section 246 10-year mortgages was extended by the Secretary?,,"A. Events Which Require Termination. Events are listed below (and also given under Item 16 of HUD-93114) which require the termination of the assistance payment contract:
4. when the assistance payment contract for Section 246 10-year mortgages terminate unless extended by the Secretary."
Was the Assistance Payment contract terminated effectively the first day of the month following the date of the event which required the termination of the contract?,,B. Termination Effective Dates. Assistance payment contracts terminated for the events cited in the preceding paragraph shall be made effective the first day of the month following the date of the event which requires the termination of the contract.
Was the assistance payment contract terminated in Error?,,"C. Contracts Terminated In Error. Where the assistance payment contract is terminated in  error, the mortgagee shall reinstate the contract immediately upon discovering the error. Form HUD-93114 must be submitted with the box checked under Item 17(1). (Item 17(1) denotes “Terminated in Error” as the reason for the reinstatement.) Documentation of the error is to be retained in the mortgagor’s case file for the life of the mortgage."
,Was the contract reinstated immediately upon discovering that the assistance payment contract was terminated in error?,"C. Contracts Terminated In Error. Where the assistance payment contract is terminated in  error, the mortgagee shall reinstate the contract immediately upon discovering the error. Form HUD-93114 must be submitted with the box checked under Item 17(1). (Item 17(1) denotes “Terminated in Error” as the reason for the reinstatement.) Documentation of the error is to be retained in the mortgagor’s case file for the life of the mortgage."
,Was the form HUD-93114 submitted with the box checked under the Item 17 (1)?,"C. Contracts Terminated In Error. Where the assistance payment contract is terminated in  error, the mortgagee shall reinstate the contract immediately upon discovering the error. Form HUD-93114 must be submitted with the box checked under Item 17(1). (Item 17(1) denotes “Terminated in Error” as the reason for the reinstatement.) Documentation of the error is to be retained in the mortgagor’s case file for the life of the mortgage."
,Was documentation of the error retained in the mortgagor’s case file?,"C. Contracts Terminated In Error. Where the assistance payment contract is terminated in  error, the mortgagee shall reinstate the contract immediately upon discovering the error. Form HUD-93114 must be submitted with the box checked under Item 17(1). (Item 17(1) denotes “Terminated in Error” as the reason for the reinstatement.) Documentation of the error is to be retained in the mortgagor’s case file for the life of the mortgage."
Were all the Escrow items included in the assistance computations?,,"A. Escrow Items Which May Be Included In Assistance Computations. Only certain items required under the mortgage may be included in the assistance computations. The escrow
items that are acceptable, and the guidelines for determining the acceptable portion of the premium for that escrow item"
,Were only the costs of either the standard fire and extended coverage or basic homeowner’s policy included in the assistance calculations?,"1. Hazard Insurance. Only the cost of either the standard fire and extended coverage or basic homeowner’s policy may be included in the assistance calculations. If a basic homeowner’s policy is used, the mortgagee must be sure that any premiums for other items, such as cars, boats or other properties are not included in the assistance calculations."
,"If the cost of the basic homeowner’s policy appeared excessive, was the agent contacted and standard fire cost established, and coverage policy extended, and the lesser of these two costs used?","1. Hazard Insurance. Only the cost of either the standard fire and extended coverage or basic homeowner’s policy may be included in the assistance calculations. If a basic homeowner’s policy is used, the mortgagee must be sure that any premiums for other items, such as cars, boats or other properties are not included in the assistance calculations. If the cost of the basic homeowner’s policy appears excessive, the mortgagee must contact the agent and establish the cost of a standard fire and
extended coverage policy and use the lesser of the two."
Was disability or life insurance premiums included in the assistance calculations?,,NOTE: Do not include disability or life insurance premiums.
"If the insurance was required by HUD, was the Flood insurance premium included in the assistance computation?",,2. Flood Insurance. The entire premium may be included in the computation if the insurance is required by HUD or the mortgagee.
"Was the entire amount for taxes and special assessments, which are levied by a government body, included in the assistance calculations?",,"3. Taxes. The entire amount for taxes and special assessments which are levied by a government body may be included in the assistance calculations. Caution, specified assessments may be payable over several tax years. Only the prorated portion due for a specific tax year may be included."
"Were the ground rents, assessments by mortgagors’ associations, and special assessments, levied by persons or private organizations, included in the assistance calculations?",,"NOTE: Do not include ground rents, assessments by mortgagors’ associations, and special assessments levied by persons or private organizations."
Was the borrower notified about the additional disclosures required prior to closing?,,"B. Additional Disclosures Required Prior To Closing. Prior to closing, mortgagees must make mortgagors aware of the following:
1. the availability of any tax exemption (i.e., available to the mortgagor at the time of closing) for which the mortgagor may qualify;
2. that the responsibility for applying for the exemption is that of the mortgagor;
3. that their assistance payments will be computed based on the assumption that the mortgagor will be receiving the tax exemption for which they qualify;"
,Was the borrower made aware of the availability of any tax exemption for which the mortgagor may qualify?,"B. Additional Disclosures Required Prior To Closing. Prior to closing, mortgagees must make mortgagors aware of the following:
1. the availability of any tax exemption (i.e., available to the mortgagor at the time of closing) for which the mortgagor may qualify;"
